Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alberta Oil & Gas Capex ($million),17.0743,20.5659,18.4935,20.5486,24.7183,35.3536,41.5009,39.300407,39.587371,23.2757,38.646269,48.476017,53.264599,57.763346,60.545862,39.247179,26.999671,30.722681,27.483422,24.134987,15.797692,18.20063,28.38271,29.535133,31.339845
Total Canada Oil & Gas Capex ($million),22.842,27.705,24.7363,28.886,33.0115,45.2524,52.9109,49.715763,54.440149,33.5622,52.860569,62.983699,66.931932,73.973583,80.739962,54.538616,38.461414,42.51689,39.103047,35.15303,21.412271,25.78728,37.10384,39.448285,43.119935
