Date,British Columbia,Alberta
Jun-22,97273,341669
Jul-22,98912,376275
Aug-22,97675,370031
Sep-22,87784,373977
Oct-22,103738,382402
Nov-22,109122,385295
Dec-22,69082,383416
Jan-23,96577,362917
Feb-23,91811,359838
Mar-23,101535,363751
Apr-23,104689,360166
May-23,92058,308958
Jun-23,95651,345907
Jul-23,97028,368010
Aug-23,108407,379587
Sep-23,104213,360314
Oct-23,112995,398418
Nov-23,120314,402609
Dec-23,122613,416838
Jan-24,122711,375728
Feb-24,123008,379931
Mar-24,124809,378863
Apr-24,126055,385407
May-24,121627,364513
Jun-24,125443,380793
Jul-24,118592,382480
Aug-24,129224,409422
Sep-24,129820,377875
Oct-24,126083,420588
Nov-24,135347,433546
Dec-24,150638,424138
Jan-25,147924,415692
Feb-25,139900,397501
Mar-25,137645,416042
Apr-25,134076,415666
May-25,140490,407867
Jun-25,139020,385471
Jul-25,139677,416974
Aug-25,135819,426973
Sep-25,135554,430694
Oct-25,137360,432242
Nov-25,137044,458359
Dec-25,131996,458560
Jan-26,136860,459645
Feb-26,139692,446870
Mar-26,133311,430397
Apr-26,138348,435350
