Conventional Liquids Excl Cond/Pentanes,1287961.85
Condensates & Pentanes Plus,564289.8741
Bitumen,2190694.96
Upgraded Bitumen,1310080.831
Natural Gas,3136114.99
NGLs,735424.4144
