Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Raw Mined Bitumen,719937.0,824898.0,856461.0,893004.0,929328.0,975907.0,1037926.0,1161092.0,1146968.0,1275562.0,1470799.0,1550354.0,1483874.0,1590460.0,1617606.0,1647520.0,1714255.0,1766695.0
Raw In Situ Bitumen,583326.0,663793.0,763190.0,858830.0,1008960.0,1117141.0,1271500.0,1368122.0,1392883.0,1549601.0,1583125.0,1556173.0,1503802.0,1680267.0,1715334.0,1776168.0,1847747.0,1936233.0
