Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alberta Oil & Gas Capex,17074300000,20565900000,18493500000,20548600000,24718300000,35353600000,41500900000,39300407000,39587371000,23275700000,38646269000,48476017000,53264599000,57763346000,60545862000,39247179000,26999671000,30722681000,27483422000,24134987000,15797692000,18200630000,28382710000,29535133000,31339845000
Total Canada Oil & Gas Capex,22842000000,27705000000,24736300000,28886000000,33011500000,45252400000,52910900000,49715763000,54440149000,33562200000,52860569000,62983699000,66931932000,73973583000,80739962000,54538616000,38461414000,42516890000,39103047000,35153030000,21412271000,25787280000,37103840000,39448285000,43119935000
